New York	40.917622	-73.700378	40.47662	-74.258904
Washington	38.99596	-76.909538	38.791672	-77.119766
Chicago	42.022949	-87.52449	41.644588	-87.939194
Paris	49.04694	2.63791	48.658291	2.08679
London	51.683979	0.27897	51.28043	-0.563
Los Angeles	34.336781	-118.155212	33.703732	-118.668167
San Francisco	37.832371	-122.355301	37.604031	-123.013657
Sao Paulo	-23.39566	-46.36499	-23.78496	-46.809319
Singapore	1.47062	104.40847	1.1158	103.618248
Kuala Lumpur	3.24511	101.758171	3.03624	101.615089
Toronto	43.855419	-79.115623	43.58474	-79.639297
Beijing	40.12241	116.670021	39.689602	116.105789
Shanghai	31.514999	121.804611	30.975	121.10157
Jakarta	-6.08916	107.042587	-6.42299	106.57589
Tokyo	35.81749	139.918961	35.523449	139.562881
Seoul	37.692902	127.18615	37.421341	126.7686
Delhi	28.88382	77.343689	28.404181	76.83831
Mumbai	19.26593	72.97612	18.886841	72.791672
Mexico City	19.59271	-98.943329	19.1322	-99.357307
Manila	14.68045	121.086647	14.49648	120.934471
Moscow	55.9576	37.967609	55.4907	37.31926
Cairo	30.1171	31.311171	30.00688	31.20372
Buenos Aires	-34.41465	-58.30043	-34.716068	-58.638939
Dhaka	23.72477	90.423462	23.69482	90.390747
Istanbul	41.23595	29.45787	40.802731	28.448009
Rio de Janeiro	-22.74906	-43.101261	-23.078119	-43.795799
Lagos	6.46103	3.44309	6.42833	3.38106
Houston	30.11174	-95.016777	29.52347	-95.788094
Philadelphia	40.137932	-74.95575	39.86578	-75.280327
Phoenix	33.892658	-111.925308	33.290249	-112.32402
San Antonio	29.73105	-98.222961	29.230869	-98.764
San Diego	33.114231	-116.905792	32.53479	-117.282356
Boston	42.397259	-70.923042	42.227859	-71.191208
Seattle	47.734138	-122.236481	47.49556	-122.436127
Austin	30.51685	-97.568649	30.1252	-97.938377
New Orleans	30.199579	-89.625443	29.865511	-90.14006
Las Vegas	36.380619	-115.062172	36.129559	-115.414619
Montreal	45.702888	-73.476921	45.41465	-73.905762
Lima	-11.99509	-76.927673	-12.21334	-77.170151
Bogota	4.70989	-74.055634	4.56282	-74.171494
Hong Kong	22.56204	114.441788	22.153549	113.835083
Bangkok	13.93338	100.69017	13.57331	100.319481
Ho Chi Minh City	10.8422	106.725327	10.73265	106.620651
Hanoi	21.061399	105.851471	21.002489	105.788338
Santiago	-33.392071	-70.562866	-33.534012	-70.733009
Taipei City	25.211411	121.665817	24.960501	121.45713
Berlin	52.667511	13.72616	52.330269	13.05355
Madrid	40.520081	-3.5349	40.325939	-3.79887
Milan	45.53212	9.26089	45.42503	9.07683
Melbourne	-37.540119	145.549774	-38.225029	144.553192
Minneapolis	45.051281	-93.193741	44.89024	-93.329147
